代號,分類,最新月份,最新月年增%,可比月數,近10年成長比率%,近10年增長月數,近5年成長比率%,近5年增長月數,近3年成長比率%,近3年增長月數,近1年成長比率%,近1年增長月數,近12月樣態,連續成長月數,近10年平均年增%
6721,🟢 全期強勢,2026/06,-6.7,80,98.8,79/80,98.3,59/60,97.2,35/36,91.7,11/12,✔✔✔✔✔✔✔✔✔✔✔✗,0,11.2
6741,🟢 全期強勢,2026/05,31.8,77,100.0,77/77,100.0,60/60,100.0,36/36,100.0,12/12,✔✔✔✔✔✔✔✔✔✔✔✔,77,19.3
4953,🟢 全期強勢,2026/06,37.1,120,89.2,107/120,100.0,60/60,100.0,36/36,100.0,12/12,✔✔✔✔✔✔✔✔✔✔✔✔,70,18.9
3293,🟢 全期強勢,2026/06,17.2,120,86.7,104/120,98.3,59/60,100.0,36/36,100.0,12/12,✔✔✔✔✔✔✔✔✔✔✔✔,48,27.3
3587,🟢 全期強勢,2026/06,11.0,120,99.2,119/120,98.3,59/60,97.2,35/36,100.0,12/12,✔✔✔✔✔✔✔✔✔✔✔✔,17,16.9
2753,🟢 全期強勢,2026/06,10.8,83,97.6,81/83,98.3,59/60,97.2,35/36,91.7,11/12,✔✔✔✔✔✔✔✗✔✔✔✔,4,10.3
6690,🟢 全期強勢,2026/06,7.2,85,97.6,83/85,96.7,58/60,100.0,36/36,100.0,12/12,✔✔✔✔✔✔✔✔✔✔✔✔,54,28.0
2947,🟢 全期強勢,2026/06,6.0,66,95.5,63/66,96.7,58/60,100.0,36/36,100.0,12/12,✔✔✔✔✔✔✔✔✔✔✔✔,41,7.8
6223,🟢 全期強勢,2026/06,65.1,120,79.2,95/120,96.7,58/60,100.0,36/36,100.0,12/12,✔✔✔✔✔✔✔✔✔✔✔✔,41,16.3
2453,🟢 全期強勢,2026/06,5.8,120,84.2,101/120,95.0,57/60,100.0,36/36,100.0,12/12,✔✔✔✔✔✔✔✔✔✔✔✔,49,8.2
3017,🟢 全期強勢,2026/06,66.1,120,89.2,107/120,95.0,57/60,100.0,36/36,100.0,12/12,✔✔✔✔✔✔✔✔✔✔✔✔,41,25.2
