代號,分類,最新季,最新季年增%,可比季數,近10年成長比率%,近10年增長季數,近5年成長比率%,近5年增長季數,近3年成長比率%,近3年增長季數,近1年成長比率%,近1年增長季數,近4季樣態,連續成長季數,近10年平均年增%,Q4回填季數,財報年度,營收TTM(百萬),營收_年(百萬),毛利率%,營益率%,淨利率%,EPS_年,ROE%,ROA%,負債比%,流動比%,獲利含金量,營業現金流(百萬),自由現金流(百萬),總資產(百萬),總負債(百萬),股東權益(百萬),現金(百萬),負債權益比,流通股數(百萬)
AXON,🟢 全期強勢,2026Q1,31.3,40,100.0,40/40,100.0,20/20,100.0,12/12,100.0,4/4,✔✔✔✔,45,33.0,6,2025,2111.0,2779.5,59.65,-2.23,4.48,1.51,3.53,1.76,49.99,227.0,1.7,211.3,75.1,7066.8,3532.7,3534.1,458.9,0.49,80.6
NOW,🟢 全期強勢,2026Q1,18.6,40,100.0,40/40,100.0,20/20,100.0,12/12,100.0,4/4,✔✔✔✔,41,39.0,2,2025,9456.0,13278.0,77.53,13.74,13.16,1.67,14.9,7.17,51.9,84.0,3.11,5444.0,4576.0,24381.0,12653.0,11728.0,2702.0,0.13,1031.0
CXDO,🟢 全期強勢,2026Q1,12.4,40,100.0,40/40,100.0,20/20,100.0,12/12,100.0,4/4,✔✔✔✔,40,25.8,10,2025,62.6,68.2,,6.88,7.44,0.16,6.97,5.56,20.34,137.0,1.83,9.3,9.3,91.3,18.6,72.7,7.2,0.0,32.4
APPF,🟢 全期強勢,2026Q1,16.2,31,100.0,31/31,100.0,20/20,100.0,12/12,100.0,4/4,✔✔✔✔,31,35.8,1,2025,808.2,950.8,,16.08,14.82,3.88,29.97,24.27,19.0,352.0,1.72,242.1,238.9,580.6,110.3,470.2,147.4,0.1,
BL,🟢 全期強勢,2026Q1,6.0,31,100.0,31/31,100.0,20/20,100.0,12/12,100.0,4/4,✔✔✔✔,31,27.9,5,2025,599.5,700.4,75.25,3.65,3.5,0.39,8.01,1.68,76.81,170.0,6.92,169.6,161.5,1455.5,1118.0,305.9,242.0,0.0,58.7
WDAY,🟢 全期強勢,2025Q3,35.1,29,100.0,29/29,100.0,20/20,100.0,12/12,100.0,4/4,✔✔✔✔,29,30.0,2,2026,8475.0,9552.0,,7.55,7.26,2.59,10.37,4.31,58.47,101.0,4.24,2939.0,2777.0,16091.0,9408.0,6683.0,559.0,0.45,220.0
CSGP,🟢 全期強勢,2026Q1,11.5,40,97.5,39/40,100.0,20/20,100.0,12/12,100.0,4/4,✔✔✔✔,25,19.8,9,2025,2530.6,3247.0,78.87,-2.22,0.22,0.02,0.09,0.07,21.77,220.0,61.43,430.0,123.0,10164.0,2213.0,7913.0,1215.0,0.13,408.4
ADUS,🟢 全期強勢,2026Q1,20.3,29,96.6,28/29,100.0,20/20,100.0,12/12,100.0,4/4,✔✔✔✔,25,16.3,7,2025,1115.6,1422.5,32.47,9.74,6.74,5.22,8.59,6.68,22.26,183.0,1.16,111.5,103.8,1435.7,319.5,1116.2,97.0,0.08,18.7
DOCU,🟢 全期強勢,2027Q1,7.6,24,100.0,24/24,100.0,20/20,100.0,12/12,100.0,4/4,✔✔✔✔,24,31.1,2,2026,2815.9,3219.5,79.4,9.27,9.6,1.48,16.99,7.76,54.32,66.0,3.77,1165.0,1058.6,3984.0,2164.3,1819.7,548.0,0.0,190.9
ATLC,🟢 全期強勢,2026Q1,18.7,25,88.0,22/25,100.0,20/20,100.0,12/12,100.0,4/4,✔✔✔✔,21,618.4,3,2025,1365.9,1968.4,,,6.21,5.96,18.85,1.64,90.84,,5.22,638.0,,7465.0,6781.1,648.4,651.1,0.0,15.1
