代號,名稱,股數,權重
2330,台灣積體,3400000,12.077
2327,國巨股份,6150000,9.476
2383,台光電子,850000,6.781
2408,南亞科技,9000000,6.134
8299,群聯電子,1500000,5.26
3037,欣興電子,3450000,5.106
2454,聯發科技,850000,5.006
6223,旺矽科技,430000,4.243
6274,台燿科技,1700000,4.077
2345,智邦科技,970000,3.505
8046,南亞電路,2000000,3.416
2059,川湖科技,310000,3.289
3189,景碩科技,2500000,3.025
7769,鴻勁精密,300000,2.96
5274,信驊科技,120000,2.844
2303,聯華電子,11000000,2.739
2492,華新科技,3200000,2.623
3711,日月光投,2700000,2.59
2344,華邦電子,8000000,2.508
6515,穎崴科技,190000,2.362
2404,漢唐集成,650000,1.322
4958,臻鼎-KY,1500000,1.321
8996,高力熱處,620000,1.289
8210,勤誠興業,690000,1.288
3665,貿聯-KY,450000,1.267
6669,緯穎科技,185000,1.202
3017,奇鋐科技,9000,0.031
2308,台達電子,9000,0.025
2368,金像電子,9000,0.016
3653,健策精密,1000,0.005
2382,廣達電腦,9000,0.005
6510,中華精測,1000,0.005
2449,京元電子,9000,0.004
2317,鴻海精密,9000,0.003
2313,華通電腦,9000,0.003
2360,致茂電子,1000,0.003
5347,世界先進,9000,0.003
3042,台灣晶技,9000,0.003
2603,長榮海運,9000,0.002
2337,旺宏電子,9000,0.002
3231,緯創資通,9000,0.002
2881,富邦金融,9000,0.002
2882,國泰金融,9000,0.001
3324,雙鴻科技,1000,0.001
1519,華城電機,1000,0.001
2885,元大金融,9000,0.001
2891,中國信託,9000,0.001
3044,健鼎科技,1000,0.001
3036,文曄科技,1000,0.0
2412,中華電信,1000,0.0
