rank,代號,名稱,比重%
1,2330,台積電,41.992
2,2454,聯發科,4.7532
3,2308,台達電,4.3669
4,2317,鴻海,2.7827
5,3711,日月光投控,1.8741
6,2383,台光電,1.2615
7,2303,聯電,1.2498
8,3037,欣興,1.1429
9,2881,富邦金,1.0594
10,2327,國巨*,1.0519
11,7769,鴻勁,1.0219
12,2345,智邦,0.9375
13,2382,廣達,0.9004
14,2882,國泰金,0.8644
15,2891,中信金,0.8186
16,2408,南亞科,0.7393
17,2360,致茂,0.7368
18,2412,中華電,0.7308
19,3017,奇鋐,0.7186
20,6669,緯穎,0.6958
21,2885,元大金,0.5463
22,1303,南亞,0.535
23,2344,華邦電,0.4889
24,2368,金像電,0.4634
25,3443,創意,0.4303
26,2886,兆豐金,0.408
27,2887,台新新光金,0.3992
28,2357,華碩,0.3887
29,4958,臻鼎-KY,0.3791
30,8046,南電,0.3768
31,2301,光寶科,0.3736
32,3653,健策,0.3577
33,3231,緯創,0.3466
34,2884,玉山金,0.3442
35,6505,台塑化,0.3367
36,2059,川湖,0.3319
37,3008,大立光,0.3226
38,2603,長榮,0.3171
39,2890,永豐金,0.2989
40,2395,研華,0.2947
41,2880,華南金,0.2919
42,3045,台灣大,0.2854
43,1216,統一,0.2805
44,3481,群創,0.2802
45,3665,貿聯-KY,0.2797
46,2449,京元電子,0.2762
47,2892,第一金,0.2714
48,3189,景碩,0.2641
49,2883,凱基金,0.2626
50,6770,力積電,0.2577
51,3036,文曄,0.251
52,5880,合庫金,0.2464
53,6446,藥華藥,0.2429
54,3661,世芯-KY,0.2408
55,2313,華通,0.2331
56,4904,遠傳,0.2285
57,2337,旺宏,0.2211
58,6515,穎崴,0.2147
59,1301,台塑,0.2077
60,2002,中鋼,0.2066
61,2379,瑞昱,0.2056
62,3533,嘉澤,0.2051
63,1326,台化,0.2011
64,3034,聯詠,0.1996
65,6239,力成,0.1978
66,1590,亞德客-KY,0.1925
67,1519,華城,0.1898
68,3044,健鼎,0.1883
69,2207,和泰車,0.185
70,2356,英業達,0.1732
71,2376,技嘉,0.1704
72,2801,彰銀,0.1638
73,4938,和碩,0.1632
74,6415,矽力*-KY,0.1605
75,2615,萬海,0.1582
76,2912,統一超,0.153
77,2404,漢唐,0.1514
78,1802,台玻,0.1438
79,3702,大聯大,0.1357
80,2618,長榮航,0.1339
81,6531,愛普*,0.1331
82,5876,上海商銀,0.1329
83,2492,華新科,0.1316
84,6139,亞翔,0.127
85,5871,中租-KY,0.1265
86,2609,陽明,0.1265
87,1101,台泥,0.1262
88,1504,東元,0.1226
89,2409,友達,0.1194
90,1605,華新,0.1181
91,7750,新代,0.1181
92,8210,勤誠,0.1176
93,6789,采鈺,0.1151
94,2324,仁寶,0.1112
95,2834,臺企銀,0.1086
96,6919,康霈*,0.1076
97,6285,啟碁,0.1061
98,2451,創見,0.1001
99,6442,光聖,0.099
100,2347,聯強,0.0985
101,2049,上銀,0.0946
102,1402,遠東新,0.0944
103,6805,富世達,0.091
104,3532,台勝科,0.0851
105,1102,亞泥,0.0829
106,3706,神達,0.081
107,2610,華航,0.0799
108,2474,可成,0.0785
109,1503,士電,0.0784
110,6196,帆宣,0.0774
111,2812,台中銀,0.0764
112,2377,微星,0.0761
113,6526,達發,0.0759
114,6257,矽格,0.0757
115,5269,祥碩,0.0753
116,2027,大成鋼,0.074
117,2353,宏碁,0.0738
118,3026,禾伸堂,0.0731
119,1560,中砂,0.0727
120,2105,正新,0.0722
121,2385,群光,0.0708
122,8996,高力,0.0693
123,6781,AES-KY,0.0681
124,6213,聯茂,0.0671
125,2467,志聖,0.0667
126,3030,德律,0.0658
127,1717,長興,0.0654
128,1476,儒鴻,0.0646
129,8464,億豐,0.064
130,2542,興富發,0.0627
131,2838,聯邦銀,0.061
132,5434,崇越,0.0599
133,2354,鴻準,0.0592
134,1513,中興電,0.0576
135,6005,群益證,0.0575
136,4919,新唐,0.0553
137,2441,超豐,0.0553
138,8150,南茂,0.0547
139,6691,洋基工程,0.0543
140,2455,全新,0.0537
141,2855,統一證,0.0523
142,3023,信邦,0.0521
143,9904,寶成,0.0516
144,3006,晶豪科,0.0505
145,6944,兆聯實業,0.0499
146,7610,聯友金屬-創,0.0493
147,1229,聯華,0.0493
148,3450,聯鈞,0.0491
149,3167,大量,0.0484
150,3583,辛耘,0.0479
151,9910,豐泰,0.0477
152,3042,晶技,0.0471
153,3406,玉晶光,0.0467
154,9945,潤泰新,0.0456
155,3090,日電貿,0.0453
156,2633,台灣高鐵,0.0449
157,8021,尖點,0.0449
158,3005,神基,0.0445
159,6278,台表科,0.0444
160,2371,大同,0.0441
161,2645,長榮航太,0.0429
162,6409,旭隼,0.0428
163,2481,強茂,0.0427
164,6451,訊芯-KY,0.0426
165,2486,一詮,0.0425
166,2646,星宇航空,0.0423
167,8454,富邦媒,0.0421
