推薦日,市場,代號,名稱,推薦價,推薦類型,評等,品質總分,ForwardPE,PEG,1m_價,1m_報酬%,3m_價,3m_報酬%,6m_價,6m_報酬%,1y_價,1y_報酬%
2026-06-29,TW,2640,大車隊,151.5,🟢成長未反映,A,97.0,14.7,1.29,,,,,,,,
2026-06-29,TW,5434,崇越,539.0,🟢成長未反映,A,96.0,17.9,1.11,,,,,,,,
2026-06-29,TW,4506,崇友,119.5,🟢成長未反映,A,91.0,15.0,1.26,,,,,,,,
2026-06-29,TW,6197,佳必琪,344.5,🟢成長未反映,A,90.0,27.5,1.22,,,,,,,,
2026-06-29,TW,4129,聯合,91.2,🟢成長未反映,A,87.0,16.7,1.36,,,,,,,,
2026-06-29,TW,3402,漢科,143.0,🟢成長未反映,B,77.0,16.4,1.11,,,,,,,,
2026-06-29,TW,2317,鴻海,246.5,🟢成長未反映,B,77.0,15.3,1.16,,,,,,,,
2026-06-29,TW,6739,竹陞科技,996.0,🟢成長未反映,B,76.0,38.8,1.03,,,,,,,,
2026-06-29,TW,2356,英業達,64.3,🟢成長未反映,B,68.0,21.3,1.35,,,,,,,,
2026-06-29,TW,3017,奇鋐,2300.0,🟢未來便宜,A,100.0,24.6,0.66,,,,,,,,
2026-06-29,TW,6139,亞翔,955.0,🟢未來便宜,A,100.0,14.2,0.4,,,,,,,,
2026-06-29,TW,2330,台積電,2370.0,🟢未來便宜,A,100.0,23.6,0.78,,,,,,,,
2026-06-29,TW,3029,零壹,97.4,🟢未來便宜,A,97.0,12.4,0.73,,,,,,,,
2026-06-29,TW,3689,湧德,114.5,🟢未來便宜,A,94.0,12.3,0.64,,,,,,,,
2026-06-29,TW,5519,隆大,34.2,🟢未來便宜,A,94.0,5.9,0.42,,,,,,,,
2026-06-29,TW,1215,卜蜂,115.5,🟢未來便宜,A,94.0,10.7,0.76,,,,,,,,
2026-06-29,TW,2753,八方雲集,189.0,🟢未來便宜,A,94.0,11.4,0.59,,,,,,,,
2026-06-29,TW,2618,長榮航,43.9,🟢未來便宜,A,92.0,7.6,0.84,,,,,,,,
